hour,events,cars_danger_zone_per_hour,time_danger_zone_seconds,exp_val_car,exp_val_rockfall,total_exp_val
0,2,114.66559040590404,28.907291698967406,0.008029803249713169,0.020202020202020204,1.622182474689529e-4
1,2,53.51060885608855,13.490069459518121,0.0037472415165328114,0.020202020202020204,7.570184881884468e-5
2,3,38.22186346863468,9.635763899655801,0.0026766010832377225,0.030303030303030304,8.110912373447644e-5
3,4,30.577490774907748,7.708611119724642,0.0021412808665901783,0.04040404040404041,8.651639865010821e-5
4,4,76.44372693726936,19.271527799311603,0.005353202166475445,0.04040404040404041,2.1629099662527051e-4
5,3,259.90867158671585,65.52319451765946,0.018200887366016518,0.030303030303030304,5.5154204139444e-4
6,4,703.2822878228782,177.29805575366677,0.049249459931574105,0.04040404040404041,0.0019898771689524893
7,1,932.6134686346861,235.11263915160154,0.06530906643100043,0.010101010101010102,6.596875397070751e-4
8,3,848.5253690036899,213.91395857235878,0.05942054404787744,0.030303030303030304,0.0018006225469053769
9,4,917.3247232472323,231.25833359173924,0.06423842599770535,0.04040404040404041,0.0025954919595032465
10,6,940.2578413284132,237.03979193153273,0.06584438664764798,0.06060606060606061,0.003990568887736241
11,3,1093.145295202952,275.58284753015596,0.07655079098059887,0.030303030303030304,0.0023197209388060263
12,9,986.1240774907748,248.60270861111968,0.06905630794753324,0.09090909090909091,0.006277846177048477
13,4,1085.500922509225,273.65569475022477,0.07601547076395132,0.04040404040404041,0.0030713321520788417
14,8,1001.4128228782286,252.45701417098198,0.07012694838082832,0.08080808080808081,0.005666824111582087
15,2,1062.5678044280442,267.8742364104313,0.0744095101140087,0.020202020202020204,0.0015032224265456304
16,6,1330.1208487084868,335.32458370802186,0.09314571769667274,0.06060606060606061,0.0056451950119195595
17,3,1490.6526752767525,375.79479208657625,0.10438744224627118,0.030303030303030304,0.003163255825644581
18,7,1192.522140221402,300.635833669261,0.08350995379701694,0.0707070707070707,0.0059047442078698845
19,3,848.5253690036899,213.91395857235878,0.05942054404787744,0.030303030303030304,0.0018006225469053769
20,5,542.7504612546124,136.82784737511238,0.03800773538197566,0.050505050505050504,0.0019195825950492757
21,6,428.0848708487084,107.92055567614497,0.02997793213226249,0.06060606060606061,0.0018168443716522723
22,2,366.92988929889293,92.5033334366957,0.025695370399082137,0.020202020202020204,5.190983919006493e-4
23,5,229.33118081180808,57.81458339793481,0.016059606499426338,0.050505050505050504,8.110912373447645e-4
